"MachineGuid","Cleared","DateTime","Disqualified","Grade","Guid","Held","LetGo","MissedHold","LifeRemainingSeconds","MachineGuid","MaxCombo","Modifiers","Pad","PercentDP","PlayerGuid","ProductID","Air","Chaos","Fakes","Freeze","Hands","Holds","Jumps","Lifts","Mines","Notes","Rolls","Stream","TapsAndHolds","Voltage","Score","StageGuid","SurviveSeconds","AvoidMine","CheckpointHit","CheckpointMiss","HitMine","Miss","W1","W2","W3","W4","W5","Dir","Title","Difficulty","Level","StepsType","_id","_index","_score","_type"
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"91f1c297-c30c-4ae7-a2b2-4e1fbb95497e",19,0,0,"0.000000",1dda8a3547c7dc6c,77,"1.75x, Overhead",33,"0.637000",3694d7d8e4a00efb,1,"0.777778","0.637084",0,"1.000000",0,19,18,0,0,"601.000000",0,"0.614286",583,"0.123479",758250,"aa52e64a-919f-4b99-a5e6-9648b0aad1e3","147.769928",0,0,0,0,17,226,147,177,33,12,"Songs/16 DDR A/Rinnetensei/","輪廻転生",Hard,13,"dance-single",EDGGQWsBSsSJMY2IpRjT,stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"169a542a-ed94-4d65-a4d5-07ec83f35c5d",11,0,0,"0.000000",1dda8a3547c7dc6c,136,"2.25x, Overhead",33,"0.496500",3694d7d8e4a00efb,1,"0.500000","0.496547",0,"0.916667",0,11,10,0,0,"417.000000",0,"0.482243",407,"0.281390",600340,"0123ca59-eab8-4e89-af3e-e50fffbadbe8","100.017937",0,0,0,0,20,141,108,122,36,12,"Songs/15 DDR 2014/Setsuna Trip/","セツナトリップ",Hard,14,"dance-single",NDGGQWsBSsSJMY2IpxgH,stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"ad2f0080-f9a5-46b2-a101-edb720b49631",24,0,0,"0.000000",1dda8a3547c7dc6c,65,"2x, Overhead",33,"0.490400",3694d7d8e4a00efb,1,"0.451219","0.490486",0,"0.750000",0,24,50,0,0,"363.000000",0,"0.493308",308,"0.121765",581840,"46447a84-0834-4375-a70f-e392d96b598b","85.699730",0,0,0,0,21,120,97,70,19,10,"Songs/16 DDR A/Love Shine wonderful mix/","Love♡Shine わんだふるmix",Challenge,14,"dance-single",KTGGQWsBSsSJMY2IsBm3,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier05,"26f6a384-2a36-478c-af26-6eed057f4756",9,0,0,"0.000000",1dda8a3547c7dc6c,93,"2x, Overhead",33,"0.643500",3694d7d8e4a00efb,1,"0.608108","0.643585",0,"1.000000",0,9,72,0,0,"537.000000",0,"0.643885",463,"0.183477",770360,"6647e856-cb46-470d-a584-0a76a94dcbce","116.272911",0,0,0,0,12,180,126,129,28,7,"Songs/16 DDR A/Plain Asia -PHQ remix-/","プレインエイジア -PHQ remix-",Hard,13,"dance-single",1DGGQWsBSsSJMY2Ioxfc,stepmania,,result
1dda8a3547c7dc6c,false,"June 10th 2019, 00:00:00.000",0,Failed,"6ee198df-5150-49fe-a6de-438ae03d72db",0,0,0,"0.000000",1dda8a3547c7dc6c,54,"2x, Overhead",33,"0.169900",3694d7d8e4a00efb,1,"0.400000","0.169948",0,"0.000000",0,0,2,0,0,"147.000000",0,"0.172211",145,"0.102699",206910,"dacc7cd7-82fe-4c1c-a171-e26d83d5a9aa","42.804340",0,0,0,0,11,48,38,40,18,8,"Songs/16 DDR A/Electric Dance System Music/","Electric Dance System Music",Hard,14,"dance-single",6TGGQWsBSsSJMY2IpBeW,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier06,"7ad9c167-3f01-4221-a9ee-d3384a1a70d6",13,0,0,"0.000000",1dda8a3547c7dc6c,83,"1.75x, Overhead",33,"0.566800",3694d7d8e4a00efb,1,"0.300000","0.566859",0,"1.000000",0,13,10,0,0,"492.000000",0,"0.501930",484,"0.155717",694710,"c5385448-e0e5-4b50-aea9-d29c591773da","113.415642",0,0,0,0,18,146,110,189,37,8,"Songs/16 DDR A/STERLING SILVER (U1 overground mix)/","STERLING SILVER (U1 overground mix)",Hard,14,"dance-single",7DGGQWsBSsSJMY2IpBeu,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"43472701-4a78-4882-a53f-2af575f22c71",5,0,0,"0.000000",1dda8a3547c7dc6c,146,"1.75x, Overhead",33,"0.679000",3694d7d8e4a00efb,1,"0.707317","0.679041",0,"1.000000",0,5,41,0,0,"453.000000",0,"0.708779",413,"0.368262",809840,"c40a9f02-0ef6-4390-ad74-73c60ba03228","110.193359",0,0,0,0,12,173,122,100,17,2,"Songs/16 DDR A/Ama no jyaku/","天ノ弱",Hard,13,"dance-single",GTGGQWsBSsSJMY2Iphgg,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier03,"f35d5738-240c-49e9-ad9d-90bf5893e82c",4,0,0,"0.000000",1dda8a3547c7dc6c,213,"2x, Overhead",33,"0.787500",3694d7d8e4a00efb,1,"0.853659","0.787535",0,"1.000000",0,4,41,0,0,"388.000000",0,"0.841026",347,"0.604652",910610,"6564876f-f7b6-4d6d-adeb-2cab768cdaca","101.934792",0,0,0,0,2,186,107,50,4,0,"Songs/16 DDR A/Help me, ERINNNNNN!!/","Help me, ERINNNNNN!!",Hard,12,"dance-single",WTGGQWsBSsSJMY2IqBiL,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier04,"0d55e3eb-7750-45f5-a06d-d6fdc0389aaf",0,0,0,"0.000000",1dda8a3547c7dc6c,224,"2x, Overhead",33,"0.666000",3694d7d8e4a00efb,1,"0.727273","0.666019",0,"0.000000",0,0,11,0,0,"520.000000",0,"0.693916",509,"0.446983",810710,"8a6b821a-06f9-48eb-a351-0a8c95f49d99","134.449997",0,0,0,0,2,191,168,120,30,4,"Songs/16 DDR A/Lost one no goukoku/","ロストワンの号哭",Hard,12,"dance-single",zTGGQWsBSsSJMY2ImRYa,stepmania,,result
1dda8a3547c7dc6c,true,"June 10th 2019, 00:00:00.000",0,Tier03,"84d5dfe8-c9c7-44f1-abb9-43dc580b458e",8,0,0,"0.000000",1dda8a3547c7dc6c,158,"1.75x, Overhead",33,"0.793000",3694d7d8e4a00efb,1,"0.862069","0.793071",0,"1.000000",0,8,29,0,0,"375.000000",0,"0.846154",347,"0.440567",912780,"245f53c9-7a9b-4797-a4a1-cfeef7359066","113.452972",0,0,0,0,2,188,104,51,3,0,"Songs/16 DDR A/STERLING SILVER (U1 overground mix)/","STERLING SILVER (U1 overground mix)",Medium,11,"dance-single",zjGGQWsBSsSJMY2ImRYi,stepmania,,result
